year,sales,volume_ton,top_sale_ton,four_letter_sales,four_letter_volume_ton
2022,21552,47788112,994000,419,24662364
2023,107935,12366122,153000,664,4121204
2024,104167,10074106,245000,457,2748798
2025,228457,21929369,555555,1989,10849951
2026,286627,30896086,1583948,2317,14267420
