username_length,sales,volume_ton,avg_price_ton
4,599,3644823,6084.8
5,19499,1057780,54.2
6,11568,742623,64.2
7,9470,477963,50.5
8,8735,435063,49.8
9,7629,330152,43.3
10,6053,584754,96.6
11,4681,123833,26.5
12,3160,78472,24.8
13+,6807,142963,21
