month,sales,volume_ton,top_sale_ton,four_letter_sales,four_letter_volume_ton
2026-07,22196,1835981,354900,137,803109
2026-08,30860,2935282,86666,257,1541516
2026-09,13485,1807337,53550,161,1000694
